,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
15,71.4519662533475,92.29462290383992,22.056105938708765,25.55619265336709,904.2641228098568,56.32772127865453,2013,1,安徽省,2013上半年,0
8,70.79349963892672,78.71049948250263,22.148461420899135,13.317214920563883,692.966252149636,60.626251789518996,2013,1,湖南省,2013上半年,0
17,58.75374149579128,74.5729268375251,20.7640579971776,13.492490092081127,688.2560226017825,62.65268029445275,2013,1,陕西省,2013上半年,0
22,66.59726342653373,92.39036639740293,40.189718962106596,21.29679951088963,944.3550033713785,57.051178479515706,2013,1,山西省,2013上半年,0
30,80.33039151661262,110.48461991345225,30.931079731325028,38.42118562965807,1285.3002521050232,57.08935408843944,2013,1,北京市,2013上半年,0
13,53.273096200018095,70.16986402150766,18.501241770247344,30.40998815594892,760.3521101592113,58.70560384900875,2013,1,浙江省,2013上半年,0
4,29.094494751664104,40.51401753712238,7.793467101894524,32.297220174091144,683.4000256016385,53.75122855862776,2013,1,香港,2013上半年,0
18,98.4939969286862,129.99018583964542,38.057783323975485,30.482029982520256,1417.5339214647668,50.464159498207884,2013,1,河南省,2013上半年,0
3,49.57459031032274,58.01394801286886,13.067328982985167,8.652007458739376,538.4867614675311,64.0791730045803,2013,1,广西壮族自治区,2013上半年,0
20,9.437965692546541,10.362666917567754,0.8463847746812628,0.6298467323487492,136.8903366015891,84.21093739036702,2013,1,青海省,2013上半年,0
25,80.96944323549522,129.3516565409887,44.15212857173518,31.854568405891744,1267.4166585415956,60.5369661213671,2013,1,河北省,2013上半年,0
29,48.8470455529123,67.59823467106843,23.99972110813546,16.968391995709055,684.3669278666908,59.68386586403353,2013,1,辽宁省,2013上半年,0
10,36.780785667726384,44.20807829014567,10.12214638200613,5.893035421105661,364.8387898097099,79.16614391741454,2013,1,四川省,2013上半年,0
11,5.5804570689179345,6.146531376189752,0.5207250639943636,0.48455412637400624,134.02059031968346,93.3755726079886,2013,1,西藏自治区,2013上半年,0
12,63.106182391406385,77.5528443733288,22.533558129942538,11.096787454841555,598.9043529897024,64.88163369246742,2013,1,重庆市,2013上半年,0
7,56.038916059245565,66.47764962147797,21.646031876840627,9.917930453989213,540.5201605489623,62.971805208928494,2013,1,贵州省,2013上半年,0
16,69.56463189644137,105.05837205115671,26.53154235703812,31.926112058662667,1045.8332751477913,63.272819628310764,2013,1,江苏省,2013上半年,0
1,39.38911131462794,48.607343108460206,11.164886360159961,16.720607015659127,590.3669772890779,58.088191663750024,2013,1,广东省,2013上半年,0
9,53.411174520099905,62.88257666802513,15.909738742593811,12.663537962701719,589.34735571648,61.8941419246859,2013,1,江西省,2013上半年,0
14,77.41221730626677,84.64913960482153,28.410825839894343,17.534504145859426,642.8371083941255,63.67696574875504,2013,1,湖北省,2013上半年,0
26,18.84121975292157,19.42938918073493,1.7747350149741,1.3145965602327394,168.30364863860993,71.13208228822248,2013,1,新疆维吾尔自治区,2013上半年,0
6,34.10073180150197,43.863361115665704,11.356880647702276,13.734723088794537,461.1957597645801,64.71539182540641,2013,1,福建省,2013上半年,0
31,35.96269954390284,46.26825637307377,11.44828917579772,12.905801635800671,464.2750640334894,63.43789261552922,2013,1,吉林省,2013上半年,0
19,59.18284546744325,72.39010705751834,19.89223389230244,40.94130328341014,868.565769542584,63.538840699138085,2013,1,上海市,2013上半年,0
2,30.385206277017872,35.8616502443546,7.904985494868961,4.718251740519172,369.3349344540731,79.39985552725348,2013,1,云南省,2013上半年,0
23,86.48387504362184,136.66061674709087,49.502874537684704,35.811656877087756,1200.033147264282,57.902251125976825,2013,1,山东省,2013上半年,0
24,37.05585491384492,59.49380158006633,25.67746132482914,13.894733913266101,511.7485863443087,63.159444403259194,2013,1,宁夏回族自治区,2013上半年,0
28,98.39666593061958,141.62133318809325,49.182429792429794,44.88351478248453,1923.7973088739216,50.52508765853323,2013,1,天津市,2013上半年,0
27,21.375983945067247,25.787620279108268,7.932482513417027,4.2356741452002735,286.3646379127747,62.74611678540055,2013,1,内蒙古自治区,2013上半年,0
32,21.574550323162715,25.45888855449068,6.286131770172424,7.31506871210772,324.7006262893617,59.016837244366236,2013,1,黑龙江省,2013上半年,0
5,20.084155124730533,24.5981116215132,5.827450061313478,15.6649148541685,218.34616350478277,62.18154039759181,2013,1,台湾省,2013上半年,0
21,25.76360871555865,31.91914407308333,5.346583987589796,3.308482379370133,240.22023514225796,70.3180734806856,2013,1,甘肃省,2013上半年,0
0,20.15190022463373,27.66908318054936,3.7647631608939105,5.325068499248467,294.9190236691276,58.29485329930793,2013,1,海南省,2013上半年,0
213,66.19529992796686,89.75922040396648,22.53482504661822,25.660892229135083,762.3682171218114,53.32119969734464,2013,7,安徽省,2013下半年,1
206,58.056281404084565,66.97539434556255,25.2247197912961,16.188126234111,587.2204415831812,61.73990052902766,2013,7,湖南省,2013下半年,1
215,50.11582522925618,67.14431477920988,22.828538421673112,16.45774999802195,766.3313750623087,59.89215687135543,2013,7,陕西省,2013下半年,1
220,49.33636083760522,73.72184901694173,32.94133194757023,22.43661385658915,1279.884135096274,54.667820280590995,2013,7,山西省,2013下半年,1
228,59.946430953803265,84.15369006371962,16.10397102747909,33.03848548884906,948.6235314615689,52.76286850358423,2013,7,北京市,2013下半年,1
211,49.6567093246093,68.86952172588263,18.23406360603947,30.063960244721887,722.9645265529657,55.310867307337645,2013,7,浙江省,2013下半年,1
202,33.69594444444445,48.43551702508961,9.684733870967742,29.399424731182794,686.6765232974913,59.231334229390676,2013,7,香港,2013下半年,1
216,84.16754836237794,111.33701351130885,37.92884069459893,32.182706903967365,1284.6698924731181,49.58415937708565,2013,7,河南省,2013下半年,1
201,49.02731402882923,59.78553994338201,16.434486078596304,10.997586374523257,553.8776125856787,66.91913430556822,2013,7,广西壮族自治区,2013下半年,1
218,8.629058524607673,9.23331900228578,0.9816773207386355,0.8248047915734805,133.62679989246413,79.10219700112822,2013,7,青海省,2013下半年,1
