,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,max,maximum
1195,0.09722607981716996,0.09292402683721693,0.11886261351308236,0.10362039999907334,0.1203956571356261,0.061382422088837575,2016,1,贵州省,0.699287234972622,1.0701747721499573
1228,0.10751788728719361,0.09832626242247325,0.10767035617779502,0.09000019563345237,0.09757628119290084,0.08574311973924083,2016,2,贵州省,0.699287234972622,1.0701747721499573
1261,0.09889470112292759,0.09734547791898099,0.08798009181617764,0.094520915861944,0.09215245370482297,0.0899630551578466,2016,3,贵州省,0.699287234972622,1.0701747721499573
1294,0.07442777958836193,0.07760252180071492,0.06761237984226116,0.07973780021876184,0.07663543325307855,0.08908738989150988,2016,4,贵州省,0.699287234972622,1.0701747721499573
1327,0.07555468677050416,0.07899892439665236,0.06027838964432057,0.06533474896960109,0.06699125964236621,0.10000755213812292,2016,5,贵州省,0.699287234972622,1.0701747721499573
1360,0.0569396382161967,0.0609506301472794,0.051260713556954905,0.05653276951920571,0.06034816248510358,0.09025291517856328,2016,6,贵州省,0.699287234972622,1.0701747721499573
1393,0.04344215162630495,0.04680459100444468,0.043965903404552815,0.05504493368034676,0.05177162574739095,0.08253262509461717,2016,7,贵州省,0.699287234972622,1.0701747721499573
1426,0.06856315642308085,0.07193075881632942,0.06801479325783347,0.06507436230725105,0.07153555267750203,0.09286290327326394,2016,8,贵州省,0.699287234972622,1.0701747721499573
1459,0.09492503853161545,0.09063761293846509,0.0820624034644471,0.0732455871049492,0.07208004910360405,0.10482886007570691,2016,9,贵州省,0.699287234972622,1.0701747721499573
1492,0.07633161568523081,0.07813165788999106,0.08320171827843777,0.076925930953351,0.07913706759679096,0.07862497156100302,2016,10,贵州省,0.699287234972622,1.0701747721499573
1525,0.08126257274899003,0.08429954213082677,0.09825154658212369,0.1000378234567053,0.09109910422701846,0.06343061269888216,2016,11,贵州省,0.699287234972622,1.0701747721499573
1558,0.12491469218242403,0.1220479936966251,0.13083909046201353,0.13992453229535823,0.12027735323379529,0.0612835731024058,2016,12,贵州省,0.699287234972622,1.0701747721499573
1591,0.12559666995348173,0.11373813320630788,0.11463889136108316,0.10534337641575289,0.13007683008355428,0.06401149588927879,2017,1,贵州省,0.7107452938862697,1.0701747721499573
1624,0.10550499979828395,0.09716085516008956,0.10373075013153857,0.09240612464311172,0.10962443003069026,0.07862954251520865,2017,2,贵州省,0.7107452938862697,1.0701747721499573
1657,0.08325700422453926,0.08531739093988741,0.0966221726364949,0.09545847660121572,0.09302403749173267,0.08069832240035023,2017,3,贵州省,0.7107452938862697,1.0701747721499573
1690,0.07822265611420812,0.08038424202995724,0.06934779215139551,0.07714694818494004,0.07234972783296378,0.10662816271693124,2017,4,贵州省,0.7107452938862697,1.0701747721499573
1723,0.07053113392381336,0.07310834336065729,0.05980632221797564,0.06606897369894661,0.06230078458820535,0.11264814718477303,2017,5,贵州省,0.7107452938862697,1.0701747721499573
1756,0.06211919969422108,0.06450828665380275,0.06093797062721123,0.06433167322483031,0.06909310260643735,0.08996106595727417,2017,6,贵州省,0.7107452938862697,1.0701747721499573
1789,0.0495851817696344,0.05475334152653802,0.04525873723385342,0.05778340122000226,0.058155726432215525,0.08085647998819787,2017,7,贵州省,0.7107452938862697,1.0701747721499573
1822,0.053091513639281086,0.058538158345992755,0.05044715902263466,0.05445039044991874,0.06059851415711272,0.08630395775484039,2017,8,贵州省,0.7107452938862697,1.0701747721499573
1855,0.06706889634436343,0.07014610368106979,0.07060483258520549,0.05480611509295063,0.07032471799981367,0.08762428036454879,2017,9,贵州省,0.7107452938862697,1.0701747721499573
1888,0.07387732138828751,0.07414493862166516,0.08707648740617427,0.07124518980452406,0.07405208525580897,0.07700674823530222,2017,10,贵州省,0.7107452938862697,1.0701747721499573
1921,0.10469893652398288,0.10420144438287156,0.1066212926590891,0.11406000903316413,0.08894261182566698,0.06859609711787387,2017,11,贵州省,0.7107452938862697,1.0701747721499573
1954,0.1264464866259032,0.12399876209116063,0.134907591967344,0.14689932163064287,0.1114574316957984,0.06703569987542068,2017,12,贵州省,0.7107452938862697,1.0701747721499573
1987,0.10448470136124272,0.10306558910122943,0.11476646628455126,0.12481599871346773,0.13228666529299538,0.06046206172710416,2018,1,贵州省,0.6521311704843626,1.0701747721499573
2020,0.12960200522454574,0.12329913784035092,0.10611940806431014,0.09877782331650155,0.11146052464330589,0.0828722713953485,2018,2,贵州省,0.6521311704843626,1.0701747721499573
2053,0.09901882740784107,0.10000692063438951,0.08421419687004489,0.09851301910005447,0.09164681692452882,0.0921780804353124,2018,3,贵州省,0.6521311704843626,1.0701747721499573
2086,0.09106937264698389,0.09651101089365134,0.06684745982839144,0.07799464949332355,0.07163772790867629,0.1064040611206975,2018,4,贵州省,0.6521311704843626,1.0701747721499573
2119,0.07370260116856188,0.07621800288975508,0.062859133292855,0.06266605449340194,0.0652501609171403,0.10528378105818613,2018,5,贵州省,0.6521311704843626,1.0701747721499573
2152,0.06339012281570909,0.0662112080810475,0.056706726738893716,0.06299347190467866,0.06661772830211585,0.09622707013763193,2018,6,贵州省,0.6521311704843626,1.0701747721499573
2185,0.04835415885367637,0.050948719163462663,0.04381033840980701,0.05552868416010437,0.05455449393452849,0.08384435836420874,2018,7,贵州省,0.6521311704843626,1.0701747721499573
2218,0.07082480210592851,0.07206254584164298,0.05969487197586311,0.059171917324123434,0.06926512478570122,0.09659398705158888,2018,8,贵州省,0.6521311704843626,1.0701747721499573
2251,0.0600519819385923,0.060753949288267245,0.0706002153471406,0.05955044428195248,0.0681092980414884,0.08192785153252971,2018,9,贵州省,0.6521311704843626,1.0701747721499573
2284,0.0739379975360534,0.07406015283060738,0.09364221822897946,0.07865354914920954,0.07625890034830561,0.07868179829618724,2018,10,贵州省,0.6521311704843626,1.0701747721499573
2317,0.08017959690452503,0.08034963330552192,0.10125334640779417,0.10505658756893299,0.08667003645472807,0.06276179093773737,2018,11,贵州省,0.6521311704843626,1.0701747721499573
2350,0.10538383203633993,0.09651313013007408,0.13948561855136915,0.11627780049424921,0.10624252244648572,0.05276288794346737,2018,12,贵州省,0.6521311704843626,1.0701747721499573
7,0.1426321186503791,0.1391610090357967,0.14222613805426126,0.1138818431363442,0.14853671890766057,0.06356660095877448,2013,1,贵州省,0.7500044287432164,1.0701747721499573
40,0.09847414296797534,0.09610176891328426,0.085183207347338,0.07729086822957407,0.10753737126626374,0.07041721076583994,2013,2,贵州省,0.7500044287432164,1.0701747721499573
73,0.09681090334645051,0.10071942523358408,0.08351908226949735,0.08551065277567038,0.08986001599359415,0.09369490562841629,2013,3,贵州省,0.7500044287432164,1.0701747721499573
106,0.07371285673091009,0.07170966079273557,0.061469949449258945,0.06979708571068555,0.06845060332013422,0.08925626461104864,2013,4,贵州省,0.7500044287432164,1.0701747721499573
139,0.07095511842866713,0.07024665476041901,0.06311293488977887,0.06969981076327016,0.06507933324612969,0.09728876273723223,2013,5,贵州省,0.7500044287432164,1.0701747721499573
172,0.06005661604517308,0.061413086425833534,0.05610642381275704,0.06536759877836484,0.056010480314264637,0.10151164334526978,2013,6,贵州省,0.7500044287432164,1.0701747721499573
